0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"(1.0, 1.0)","(0.49999999999665473, 1.0)","(0.49999999999665473, 0.8751248751267341)","(0.0, 0.8751248751267341)","(0.0, 0.0)","(0.49999999999665473, 0.0)","(0.49999999999665473, 0.38361638361439454)","(1.0, 0.38361638361439454)","(1.0, 1.0)",,,,,,,,,,
"(0.34407894737076156, 0.0)","(1.0, 0.49272853184109344)","(0.656250000001795, 1.0)","(0.0, 0.5072714681266586)","(0.34407894737076156, 0.0)",,,,,,,,,,,,,,
"(0.007293666029182201, 1.0)","(0.0, 0.11617647058098451)","(0.9934740882901495, 0.0)","(1.0, 0.8852941176212783)","(0.007293666029182201, 1.0)",,,,,,,,,,,,,,
"(1.0, 0.49290411906991083)","(0.6561368871317853, 1.0)","(0.0, 0.5074420214554016)","(0.34386311286438404, 0.0)","(1.0, 0.49290411906991083)",,,,,,,,,,,,,,
"(0.0, 0.988603503998553)","(0.023702754644181583, 0.8702160231351691)","(0.07751441383496668, 0.6060554516051312)","(0.12107623318485979, 0.3905426092864126)","(0.1998718770018024, 0.0)","(1.0, 0.011736689920213381)","(0.9506726457386729, 0.2578669841833544)","(0.8494554772595246, 0.7584623235213936)","(0.8007687379891856, 1.0)","(0.0, 0.988603503998553)",,,,,,,,,
"(0.20819563780106645, 0.0)","(1.0, 0.011456908343371625)","(0.9788499669563027, 0.11063611492170133)","(0.920687376076517, 0.3856019151944713)","(0.8724388631890904, 0.6138850889209662)","(0.8096497025836408, 0.9105677154513158)","(0.7904824851322598, 1.0)","(0.0, 0.9888850889130034)","(0.20819563780106645, 0.0)",,,,,,,,,,
"(1.0, 1.0)","(0.9977024698427813, 0.2943197434840801)","(0.5014359563449183, 0.2956939990862334)","(0.5014359563449183, 0.0)","(0.0005743825393046814, 0.0002290426181349296)","(0.0, 0.8561612459862726)","(0.5002871912663089, 0.8563902886044076)","(0.5002871912663089, 0.9979386165861044)","(1.0, 1.0)",,,,,,,,,,
"(0.7199134199143471, 0.9696686887362778)","(0.6991341991308722, 1.0)","(0.5099567099533938, 0.8488100793155121)","(0.4398268398236546, 0.9514699020041196)","(0.1164502164479148, 0.6934204386192538)","(0.1082251082252173, 0.6868875408279952)","(0.18225108224965328, 0.5790947269897467)","(0.0, 0.43397106859277035)","(0.2467532467514796, 0.0746616892043734)","(0.2982683982693037, 0.0)","(0.4030303030280887, 0.08306112922791423)","(0.4688311688298271, 0.135790947235565)","(0.5567099567099131, 0.007932804476334968)","(0.8865800865801738, 0.271115258967383)","(0.7978354978334798, 0.4003733084116894)","(0.8658008658017384, 0.45496966869508126)","(1.0, 0.5618292113954593)","(0.9406926406927825, 0.6481567895407321)","(0.7199134199143471, 0.9696686887362778)"
"(0.008842752786670172, 1.0)","(0.0, 0.14727540500655575)","(0.9915417147261829, 0.0)","(1.0, 0.8527245949934442)","(0.008842752786670172, 1.0)",,,,,,,,,,,,,,
"(0.009973980923557309, 1.0)","(0.0, 0.13313609473406615)","(0.990026019081491, 0.0)","(1.0, 0.8668639054037034)","(0.009973980923557309, 1.0)",,,,,,,,,,,,,,
"(1.0, 1.0)","(0.0, 1.0)","(0.0, 0.0)","(0.5000000000033452, 0.0)","(0.5000000000033452, 0.4383561643803576)","(1.0, 0.4383561643803576)","(1.0, 1.0)",,,,,,,,,,,,
"(0.0, 0.9877655055268685)","(0.00854139290439522, 0.9480033984773222)","(0.2109067017062181, 0.0)","(1.0, 0.011214953273631088)","(0.7897503285177853, 1.0)","(0.05190538765037471, 0.9894647408646443)","(0.0, 0.9877655055268685)",,,,,,,,,,,,
